Epoch,Train Loss,Validation Loss,Train F1-Score,Validation F1-Score,Train Recall,Validation Recall
1,2.095288623817512,28.451641376201923,0.8857142857142857,0.7692307692307693,0.8872352604464797,1.0
2,1.3619027148897402,8.74144951502482,0.9269607147922281,0.7692307692307693,0.9353176874642244,1.0
3,3.0955307454807635,19.89331475282327,0.887901376146789,0.7692307692307693,0.8863766456783057,1.0
4,1.9080134444856602,13.868593387114696,0.9085967672722072,0.7692307692307693,0.9089868345735547,1.0
5,1.799170803598357,12.402656408456656,0.9020118685772182,0.7692307692307693,0.8918145392100744,1.0
6,1.0495344229238766,5.133762689737173,0.9363882168777572,0.7692307692307693,0.9416141957641672,1.0
7,1.5728273315761894,15.10245337853065,0.8987668482936622,0.7692307692307693,0.8969662278191185,1.0
8,0.7562985271848454,2.7219071693909473,0.9397556123898835,0.7692307692307693,0.9464796794504865,1.0
9,1.3611919872823568,7.494324647463285,0.9104157736819546,0.7692307692307693,0.9118488838008014,1.0
10,0.5180191730379349,3.168746440838545,0.9396934536599341,0.7692307692307693,0.9387521465369204,1.0
11,0.5957121578129855,4.745305684896616,0.9277263007840342,0.7692307692307693,0.931310818546079,1.0
12,0.3305340942783485,3.8007945647606483,0.9444524185445673,0.7692307692307693,0.9416141957641672,1.0
13,0.35540958256567545,4.2703091486906395,0.9405050649165358,0.7692307692307693,0.9433314253005152,1.0
14,0.32135090383818926,4.232334424287845,0.9466130884041332,0.7692307692307693,0.9439038351459645,1.0
15,0.27308064476351873,4.664376796820225,0.9479107040641099,0.7692307692307693,0.9479107040641099,1.0
16,0.2740882763745122,4.191712067677424,0.9473985134362493,0.7692307692307693,0.9484831139095592,1.0
17,0.24407515640013686,4.094252702517387,0.9491622511814406,0.7692307692307693,0.9484831139095592,1.0
18,0.25516535240457333,4.277187640850361,0.9474738800629741,0.7692307692307693,0.9473382942186606,1.0
19,0.2517517804086664,4.240122464986948,0.9499141385231826,0.7692307692307693,0.9499141385231826,1.0
20,0.24332311936830603,4.216175109912188,0.948882244055247,0.7692307692307693,0.9536348025186033,1.0
