Epoch,Train Loss,Validation Loss,Train F1-Score,Validation F1-Score,Train Recall,Validation Recall
1,3.1136858688134104,28.847968419392902,0.8587371512481644,0.7692307692307693,0.8368631940469377,1.0
2,3.3101001315534164,27.44126388354179,0.9000141823854773,0.7692307692307693,0.9081282198053806,1.0
3,2.865495249084628,20.217790945982323,0.900157570548632,0.7692307692307693,0.8992558672009159,1.0
4,3.1526218394455308,24.684356151482998,0.8771980397809167,0.7692307692307693,0.8709215798511735,1.0
5,2.2172313311794802,18.298863875560272,0.9045070422535211,0.7692307692307693,0.9190040068689181,1.0
6,2.333414608073012,23.798787288176708,0.8893982808022922,0.7692307692307693,0.8883800801373783,1.0
7,1.8077854699468654,16.36283192267785,0.90095482399886,0.7692307692307693,0.9046937607326846,1.0
8,1.3193442675656146,10.088387538225223,0.9169283471310306,0.7692307692307693,0.9192902117916428,1.0
9,2.4374689740859155,10.105376145778559,0.8934039204464158,0.7692307692307693,0.8935317687464225,1.0
10,1.1253360113352158,10.264902310493666,0.9101917255297679,0.7692307692307693,0.903548941041786,1.0
11,0.7397568940407356,8.343977646949964,0.9182534001431639,0.7692307692307693,0.9178591871780195,1.0
12,0.6898702132114436,9.611631931402744,0.9204888569374551,0.7692307692307693,0.9161419576416714,1.0
13,0.4994348224280948,7.157534966102014,0.9299145299145299,0.7692307692307693,0.9341728677733258,1.0
14,0.47273319569703576,6.231240260295379,0.928428285141712,0.7692307692307693,0.9281625643961076,1.0
15,0.4125068012242005,6.194604164514786,0.9294926913155632,0.7692307692307693,0.9281625643961076,1.0
16,0.4139663703809275,6.794125263507549,0.9288368105172906,0.7692307692307693,0.9301659988551803,1.0
17,0.3698102371512375,6.240556973677415,0.9351166761525327,0.7692307692307693,0.9404693760732684,1.0
18,0.3360852749801432,6.382275251241831,0.9357798165137615,0.7692307692307693,0.9341728677733258,1.0
19,0.3805867194015289,6.185303137852595,0.9287553648068669,0.7692307692307693,0.9290211791642816,1.0
20,0.3320184562453397,6.286017992557624,0.9357561882958936,0.7692307692307693,0.9358900973096738,1.0
