Epoch,Train Loss,Validation Loss,Train F1-Score,Validation F1-Score,Train Recall,Validation Recall
1,1.5485423409341246,20.145446728437374,0.8892338083815436,0.7692307692307693,0.9018317115054378,1.0
2,1.7391894833962596,13.03225008646647,0.9059659090909091,0.7692307692307693,0.9127074985689754,1.0
3,1.1844413817283352,15.91782560103979,0.9155290102389079,0.7692307692307693,0.9212936462507155,1.0
4,2.0407370776571048,0.958050040098337,0.9206974128233971,0.7692307692307693,0.9370349170005724,1.0
5,2.2024255413672837,9.195092225686098,0.8913793103448275,0.7692307692307693,0.887807670291929,1.0
6,1.6928721301719711,13.781669054275904,0.9024215503653819,0.7692307692307693,0.9012593016599886,1.0
7,0.8418106196183923,1.988575932307121,0.934111285043404,0.7692307692307693,0.9393245563823698,1.0
8,0.9867689142616097,2.180575049840487,0.9251798561151079,0.7692307692307693,0.9201488265598168,1.0
9,1.165858783606462,5.152995794247358,0.9027359977080648,0.7692307692307693,0.9018317115054378,1.0
10,0.5040255554317922,3.826598271345481,0.9386053199137311,0.7692307692307693,0.9341728677733258,1.0
11,0.38734700802330657,2.655019222161709,0.9398453165282155,0.7692307692307693,0.9390383514596451,1.0
12,0.33416769642797484,3.5616455567188754,0.9427996550732969,0.7692307692307693,0.9387521465369204,1.0
13,0.27456182421215936,3.2790345350901284,0.9474588403722262,0.7692307692307693,0.9470520892959359,1.0
14,0.2464610684343385,4.131063504096789,0.9467795151341271,0.7692307692307693,0.9444762449914138,1.0
15,0.25516045587287683,3.674472374793811,0.9495353824160114,0.7692307692307693,0.9504865483686319,1.0
16,0.2431049468589214,3.6089263206873183,0.9480482204362801,0.7692307692307693,0.9453348597595879,1.0
17,0.22709090791218547,4.030722783162044,0.9496485439678669,0.7692307692307693,0.9473382942186606,1.0
18,0.229502951860833,4.039395851966662,0.950401376146789,0.7692307692307693,0.9487693188322839,1.0
19,0.2276680081095246,3.9935218493143716,0.9511288939697057,0.7692307692307693,0.9524899828277046,1.0
20,0.21916944074650993,3.9787581456013217,0.9509888220120378,0.7692307692307693,0.9496279336004579,1.0
