Epoch,Train Loss,Validation Loss,Train f1_micro,Validation f1_micro,Train f1_macro,Validation f1_macro
1,0.005973542611883163,0.004874976134792143,0.05947315096251266,0.0,0.02974398926511666,0.0
2,0.004523336831754197,0.004804394255035924,0.0,0.0,0.0,0.0
3,0.004431123304215316,0.004768098170375388,0.0,0.0,0.0,0.0
4,0.004404571190781779,0.0047322445130301575,7.078894276713977e-05,0.0,2.052545155993432e-05,0.0
5,0.004391124683785544,0.004711782397405166,0.00024768240039629185,0.0,7.174630506528914e-05,0.0
6,0.0043813539660846855,0.004697556001918159,0.0004599409152824214,0.0,0.0001331953566049528,0.0
7,0.004375732515961321,0.004697373183520946,0.00031843753317057635,0.0,9.223201475712236e-05,0.0
8,0.00437227006766256,0.0046942918437889655,0.00045990023702550676,0.0,0.0001331476094883035,0.0
9,0.0043711338579195515,0.004694248562593089,0.00021228417775261818,0.0,6.147918929442383e-05,0.0
10,0.0043706787030779485,0.004694055692695744,0.00042450076940764455,0.0,0.0001228790562888477,0.0
